Protein	Organism_Name	Length	Host	Tissue_Specimen_Source	Geo_Location	Species
E7 protein	Human papillomavirus type 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus type 16	649	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus type 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus type 16	95	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus type 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus type 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus type 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus type 16	649	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus type 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus type 16	95	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus type 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus type 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus type 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus type 16	649	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus type 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus type 16	95	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus type 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus type 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus type 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus type 16	649	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus type 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus type 16	95	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus type 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus type 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus type 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus type 16	649	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus type 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus type 16	95	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus type 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus type 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus type 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus type 16	649	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus type 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus type 16	95	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus type 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus type 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus type 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus type 16	649	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus type 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus type 16	95	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus type 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus type 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus type 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus type 16	649	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus type 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus type 16	95	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus type 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus type 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus type 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus type 16	649	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus type 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus type 16	95	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus type 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus type 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus type 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus type 16	649	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus type 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus type 16	95	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus type 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus type 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus type 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus type 16	649	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus type 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus type 16	95	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus type 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus type 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus type 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus type 16	649	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus type 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus type 16	95	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus type 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus type 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus type 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus type 16	649	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus type 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus type 16	95	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus type 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus type 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus type 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus type 16	649	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus type 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus type 16	95	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus type 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus type 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus type 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus type 16	649	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus type 16	351	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus type 16	81	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus type 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus type 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus type 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus type 16	649	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus type 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus type 16	95	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus type 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus type 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus type 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus type 16	649	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus type 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus type 16	95	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus type 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus type 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus type 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus type 16	649	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus type 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus type 16	95	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus type 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus type 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus type 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus type 16	649	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus type 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus type 16	95	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus type 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus type 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus type 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus type 16	649	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus type 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus type 16	95	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus type 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus type 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus type 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus type 16	649	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus type 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus type 16	95	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus type 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus type 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus type 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus type 16	649	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus type 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus type 16	95	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus type 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus type 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus type 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus type 16	649	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus type 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus type 16	95	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus type 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus type 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus type 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus type 16	649	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus type 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus type 16	95	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus type 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus type 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus type 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus type 16	649	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus type 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus type 16	95	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus type 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus type 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus type 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus type 16	649	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus type 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus type 16	95	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus type 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus type 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus type 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
E6 protein	Human papillomavirus type 16	151	Homo sapiens		Japan	Alphapapillomavirus 9
E7 protein	Human papillomavirus type 16	98	Homo sapiens		Japan	Alphapapillomavirus 9
E1 protein	Human papillomavirus type 16	277	Homo sapiens		Japan	Alphapapillomavirus 9
E2 protein	Human papillomavirus type 16	365	Homo sapiens		Japan	Alphapapillomavirus 9
E4 protein	Human papillomavirus type 16	95	Homo sapiens		Japan	Alphapapillomavirus 9
E5 protein	Human papillomavirus type 16	83	Homo sapiens		Japan	Alphapapillomavirus 9
L2 protein	Human papillomavirus type 16	473	Homo sapiens		Japan	Alphapapillomavirus 9
L1 protein	Human papillomavirus type 16	531	Homo sapiens		Japan	Alphapapillomavirus 9
